Gross,Net,Conventional Accounting,Economic Sector,Sector,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Year,Gas,MT CO2e AR5 20 yr,MT CO2e AR4 100 yr
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1992,N2O,19,19
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1992,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1992,CH4,50957,16986
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1992,N2O,21354,21434
Yes,No,No,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1992,Biogenic CO2,1799049,1799049
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1992,CO2,15159,15159
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Asphalt and Road Oil,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1992,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Coking,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1992,CO2,21256,21256
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Coal - Other,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1992,CO2,3518,3518
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Distillate Fuel,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1992,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Kerosene,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1992,CO2,88698,88698
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,LPG,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1992,CO2,391429,391429
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1992,CO2,405420,405420
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Lubricants (Transportation),1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1992,CO2,160354,160354
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Miscellaneous Petroleum Products,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1992,CO2,131259,131259
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1992,CO2,127154,127154
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Petroleum Coke,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1992,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Residual Fuel,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1992,CO2,55660,55660
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Special Naphthas,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1992,CO2,48103,48103
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Waxes,1992,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1992,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1992,N2O,0,0
Yes,No,No,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Wood,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1992,CO2,51485097,51485097
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1992,CH4,1582635,527545
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1992,N2O,614275,616602
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1992,CO2,8863624,8863624
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1992,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1992,N2O,3695,3709
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,Diesel,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1992,CO2,353,353
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1992,CH4,4948,1649
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1992,N2O,102,103
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Road,CNG,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1992,CO2,54181,54181
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1992,CH4,4166,1389
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Aviation Gasoline,1992,N2O,196,197
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1992,CO2,5567070,5567070
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1992,CH4,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Aviation,Jet Fuel,1992,N2O,54525,54732
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1992,CO2,360696,360696
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1992,CH4,2351,784
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1992,N2O,2364,2373
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Railroad,Distillate Fuel,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1992,CO2,82105,82105
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1992,CH4,4297,1432
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1992,N2O,363,365
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Distillate Fuel,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1992,CO2,89022,89022
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1992,CH4,737,246
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1992,N2O,673,675
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Military,Residual Fuel,1992,Biogenic CO2,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1992,CO2,202367,202367
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1992,CH4,10592,3531
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1992,N2O,895,899
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Distillate Fuel,1992,Biogenic CO2,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1992,CO2,1532193,1532193
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1992,CH4,12689,4230
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Vessel),Residual Fuel,1992,N2O,11578,11622
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1992,CO2,10827255,10827255
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1992,CH4,0,0
No,No,No,Excluded,Energy,Fuel Combustion,Transportation,Bunker (Aircraft),Jet Fuel,1992,N2O,106045,106446
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1992,CO2,520881,520881
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1992,CH4,4304,1435
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1992,N2O,12588,12636
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Other,Diesel,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1992,CO2,124279,124279
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1992,CH4,2535,845
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1992,N2O,4501,4518
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Industrial/Commercial,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1992,CO2,147105,147105
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1992,CH4,3141,1047
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1992,N2O,5107,5126
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Construction,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1992,CO2,154630,154630
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1992,CH4,1188,396
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1992,N2O,3901,3916
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Agricultural,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1992,CO2,214523,214523
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1992,CH4,4580,1527
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1992,N2O,7448,7476
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Public Nonhighway,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1992,CO2,47106,47106
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1992,CH4,1006,335
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1992,N2O,1635,1642
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Miscellaneous/Unclassified,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1992,CO2,1010984,1010984
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1992,CH4,21961,7320
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1992,N2O,44526,44694
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Lawn and Garden,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1992,CO2,458800,458800
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1992,CH4,8726,2909
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1992,N2O,76,77
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Marine/Boating,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1992,CO2,443438,443438
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1992,CH4,11042,3681
Yes,Yes,Yes,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1992,N2O,18127,18196
Yes,No,No,Transportation,Energy,Fuel Combustion,Transportation,Nonroad - Recreational Vehicle,Gasoline,1992,Biogenic CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Transportation,Nonroad - Pipelines,Natural Gas,1992,CO2,320779,320779
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Transportation,Nonroad - Pipelines,Natural Gas,1992,CH4,537,179
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Transportation,Nonroad - Pipelines,Natural Gas,1992,N2O,169,169
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,1992,CO2,43000,43000
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,1992,CH4,18226367,6075456
Yes,Yes,Yes,Industry,Energy,Fugitive Emissions,Oil and Gas Systems,Not Applicable,All,1992,N2O,118,119
Yes,Yes,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1992,CO2,3749393,3749393
Yes,Yes,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1992,CH4,4610,1537
Yes,Yes,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1992,N2O,14334,14388
Yes,No,No,Electricity,Energy,Imported Electricity,Net Electricity Imports,Not Applicable,All,1992,Biogenic CO2,38252,38252
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,1992,CO2,1390314,1390314
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,1992,CH4,1891,630
Yes,Yes,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,1992,N2O,584,586
Yes,No,No,Electricity,Energy,Imported Electricity,Direct Electricity Imports,Not Applicable,All,1992,Biogenic CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Coal,1992,CO2,820603,820603
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Distillate Fuel,1992,CO2,41503,41503
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Natural Gas,1992,CO2,2985011,2985011
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Petroleum Coke,1992,CO2,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Residual Fuel,1992,CO2,1937998,1937998
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Coal,1992,CH4,9729524,3243175
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Distillate Fuel,1992,CH4,28605,9535
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Natural Gas,1992,CH4,9995716,3331905
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Petroleum Coke,1992,CH4,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Residual Fuel,1992,CH4,1620743,540248
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Coal,1992,N2O,6814,6840
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Distillate Fuel,1992,N2O,115,115
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Natural Gas,1992,N2O,9000,9034
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Petroleum Coke,1992,N2O,0,0
Yes,Yes,No,Electricity,Energy,Imported Fossil Fuels,Electricity,Not Applicable,Residual Fuel,1992,N2O,6159,6183
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1992,CO2,3617,3617
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1992,CO2,2705375,2705375
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Kerosene,1992,CO2,68779,68779
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,LPG,1992,CO2,303286,303286
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Natural Gas,1992,CO2,4455288,4455288
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1992,CH4,42886,14295
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1992,CH4,1864632,621544
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Kerosene,1992,CH4,62797,20932
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,LPG,1992,CH4,174360,58120
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Natural Gas,1992,CH4,14918293,4972764
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Coal,1992,N2O,30,30
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Distillate Fuel,1992,N2O,7467,7495
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Kerosene,1992,N2O,217,217
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,LPG,1992,N2O,839,842
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Residential,Not Applicable,Natural Gas,1992,N2O,13433,13484
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,1992,CO2,16473,16473
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Distillate Fuel,1992,CO2,1343100,1343100
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,1992,CO2,22423,22423
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,LPG,1992,CO2,86043,86043
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,1992,CO2,2555541,2555541
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Residual Fuel,1992,CO2,1061906,1061906
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,1992,CH4,195314,65105
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Distillate Fuel,1992,CH4,925708,308569
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,1992,CH4,20473,6824
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,LPG,1992,CH4,49466,16489
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,1992,CH4,8557091,2852364
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Residual Fuel,1992,CH4,888069,296023
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Coal,1992,N2O,137,137
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Distillate Fuel,1992,N2O,3707,3721
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Kerosene,1992,N2O,71,71
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,LPG,1992,N2O,238,239
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Natural Gas,1992,N2O,7705,7735
Yes,Yes,No,Buildings,Energy,Imported Fossil Fuels,Commercial,Not Applicable,Residual Fuel,1992,N2O,3375,3388
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Asphalt and Road Oil,1992,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Coal,1992,CO2,209756,209756
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Distillate Fuel,1992,CO2,199324,199324
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,1992,CO2,11051,11051
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1992,CO2,12653,12653
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Lubricants,1992,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Lubricants (Transportation),1992,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Miscellaneous Petroleum Products,1992,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Natural Gas,1992,CO2,1685594,1685594
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Petroleum Coke,1992,CO2,185320,185320
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Residual Fuel,1992,CO2,206031,206031
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Special Naphthas,1992,CO2,1547,1547
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Waxes,1992,CO2,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Asphalt and Road Oil,1992,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Coal,1992,CH4,2486980,828993
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Distillate Fuel,1992,CH4,137381,45794
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,1992,CH4,10090,3363
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,LPG,1992,CH4,7274,2425
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Lubricants,1992,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Lubricants (Transportation),1992,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Miscellaneous Petroleum Products,1992,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Natural Gas,1992,CH4,5644122,1881374
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Petroleum Coke,1992,CH4,150942,50314
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Residual Fuel,1992,CH4,172303,57434
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Special Naphthas,1992,CH4,1077,359
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Waxes,1992,CH4,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Asphalt and Road Oil,1992,N2O,0,0
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Coal,1992,N2O,1742,1748
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Distillate Fuel,1992,N2O,550,552
Yes,Yes,No,Industry,Energy,Imported Fossil Fuels,Industrial,Not Applicable,Kerosene,1992,N2O,35,35
